time,id,room,mac_addr,status,power[W],ble_rssi,node_rssi
2026-03-28 12:06:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NORMAL,46.7,-26,-79
2026-03-28 12:06:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:06:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:09:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NORMAL,34.5,-25,-80
2026-03-28 12:09:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:09:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:12:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NORMAL,36.3,-25,-80
2026-03-28 12:12:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:12:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:15:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NORMAL,32.5,-25,-80
2026-03-28 12:15:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:15:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:30:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.5,-74,-90
2026-03-28 12:30:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:30:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:33:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-83,-99
2026-03-28 12:33:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,UNKNOWN,0,-100,-100
2026-03-28 12:33:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,UNKNOWN,0,-100,-100
2026-03-28 12:36:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.2,-80,-95
2026-03-28 12:36:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:36:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:39:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:39:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:39:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:42:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:42:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:42:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:45:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:45:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:45:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:48:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:48:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:48:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:51:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:51:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:51:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:54:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:54:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:54:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 12:57:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 12:57:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 12:57:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:00:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:00:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:00:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:03:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:03:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:03:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:06:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:06:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:06:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:09:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:09:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:09:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:12:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:12:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:12:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:15:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:15:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:15:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:18:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:18:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:18:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:21:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:21:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:21:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:24:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:24:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:24:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:27:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:27:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:27:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:30:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:30:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:30:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:33:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:33:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:33:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:36:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:36:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:36:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:39:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:39:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:39:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:42:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:42:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:42:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:45:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:45:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:45:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:48:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:48:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:48:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:51:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:51:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:51:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:54:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:54:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:54:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 13:57:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 13:57:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 13:57:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 14:00:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 14:00:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 14:00:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
